system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_4,mix,471600,qasm simulator,1.8943217665615144,-3.6385557163272915,-6.237807942719405,-7.7860295955885945,-8.59687297475163,-9.14259995070125
linear_4,mix,471600,qasm simulator,1.844900105152471,-3.7473710115563565,-6.5409706719054,-8.383766054641717,-9.299813671751334,-9.684226228302293
linear_4,mix,471600,qasm simulator,1.9695057833859093,-3.6474937626415684,-6.525362001153145,-8.361900403181068,-9.310148314939443,-9.675167979635507
linear_4,mix,471600,qasm simulator,2.0094637223974767,-3.1925318891935333,-6.105865020064557,-8.343037553063748,-9.198341772987602,-9.608313082524095
linear_4,mix,471600,qasm simulator,1.97739221871714,-3.064679842213178,-5.748536479087309,-7.6572720447244125,-8.284079123862217,-8.629385807766104
linear_4,mix,471600,qasm simulator,1.8859095688748684,-3.4995752468388117,-6.332251689168103,-8.30163193200916,-9.266343806387566,-9.649075203688595
linear_4,mix,471600,qasm simulator,1.916403785488959,-3.3735235464204343,-5.94417594451647,-7.467998784078729,-7.900894964695909,-7.941515472536127
linear_4,mix,471600,qasm simulator,1.8843322818086223,-3.160245818650536,-6.27486726179527,-8.636496711333042,-9.41583897813447,-9.731377145322917
linear_4,mix,471600,qasm simulator,1.8480546792849637,-3.946285472656352,-6.72472572146032,-8.370111187489515,-9.129444953468468,-9.61881153238382
linear_4,mix,471600,qasm simulator,1.9526813880126186,-3.6118615464951236,-6.695699083152115,-8.263579671285424,-8.928443682190917,-9.513956031736988
linear_4,mix,471600,qasm simulator,1.9164037854889593,-3.5117483781421828,-6.517815423221561,-8.436997680444588,-9.296240835935084,-9.678360239546059
linear_4,mix,471600,qasm simulator,1.9079915878023135,-3.8378358712519893,-7.11947212708104,-8.986964887443566,-9.643887409506545,-9.841499895954902
linear_4,mix,471600,qasm simulator,1.8980021030494214,-3.985602513717796,-6.9443164012720775,-8.492107265536635,-9.191223554102212,-9.669810907524656
linear_4,mix,471600,qasm simulator,1.92429022082019,-3.1430142812047634,-5.922188811420368,-7.978010196675616,-8.85013192254667,-9.353127056164189
linear_4,mix,471600,qasm simulator,2.0736067297581493,-3.15150151136867,-5.5498015324793375,-7.084383720570914,-7.548294251280596,X
linear_4,mix,471600,qasm simulator,1.8338590956887495,-3.545471158373689,-6.270554319535011,-7.674233498327121,-8.130373496323196,-8.367537095859383
linear_4,mix,471600,qasm simulator,1.9416403785488963,-3.5282326684969862,-6.69515329660682,-8.512251523136975,-9.221203190497254,-9.67141673609867
linear_4,mix,471600,qasm simulator,1.9815983175604623,-3.5644862942356834,-6.360923251806298,-8.100908815643814,-8.90703254494618,-9.448926139355558
linear_4,mix,471600,qasm simulator,1.9200841219768663,-3.308332246962922,-6.070799017090877,-7.844466733744307,-8.52019040282918,-9.06531884033268
linear_4,mix,471600,qasm simulator,2.0110410094637223,-3.1362373011764135,-5.254276504687349,-6.304125779498009,-6.304145213217172,-11.33092564373746
linear_4,mix,471600,qasm simulator,1.8543638275499479,-3.3963319237194702,-5.912902005850761,-7.806843758926419,-8.779352739273719,-9.312339980975551
linear_4,mix,471600,qasm simulator,1.928496319663512,-3.3107605145129,-6.06352531215176,-8.131210210846994,-9.057941838448196,-9.525805006001844
linear_4,qwc,471696,qasm simulator,1.8264984227129335,-3.740513496221045,-6.693518795049208,-8.370670435059683,-9.086898078567156,-9.605640512643888
linear_4,qwc,471696,qasm simulator,1.9810725552050474,-3.595255488929088,-6.890163675802058,-8.996817791765878,-9.666121955262291,-9.848347114109403
linear_4,qwc,471696,qasm simulator,1.8974763406940065,-3.6268745978070966,-6.547941806390224,-8.20688558242177,-8.963725035577909,-9.508477426430709
linear_4,qwc,471696,qasm simulator,1.9345425867507888,-3.022583923914824,-5.375314714789885,-7.8418552759142255,-9.154974239381097,-9.570608789748317
linear_4,qwc,471696,qasm simulator,1.9171924290220819,-3.239772480420245,-5.590371570205998,-6.5165508214112835,X,-10.843457868063874
linear_4,qwc,471696,qasm simulator,1.9944794952681386,-3.0025075186757357,-5.42466500825582,-7.6794583382424175,-8.856208681020311,-9.34933995851901
linear_4,qwc,471696,qasm simulator,1.8722397476340693,-3.4111776716331605,-5.862060728058563,-7.417298943793476,-8.109816001575314,-8.421038173049059
linear_4,qwc,471696,qasm simulator,1.97397476340694,-3.2827550558789387,-5.872668650944694,-7.472103230790747,-8.076975706117631,-8.330551190120847
linear_4,qwc,471696,qasm simulator,2.0654574132492116,-2.5053080183761476,-4.607225137335359,-6.722082175745257,-7.376025331651614,X
linear_4,qwc,471696,qasm simulator,2.0015772870662456,-2.9467571636173857,-5.742379193254967,-8.046898333948302,-9.240130637356582,-9.62261181697409
linear_4,qwc,471696,qasm simulator,2.0772870662460567,-2.8862324149962233,-5.036475883734434,-6.782462287661987,-7.626163747669885,-7.71523254010993
linear_4,qwc,471696,qasm simulator,1.911671924290221,-3.4535944831842182,-6.693973346402101,-8.748049599593884,-9.520965040849294,-9.78669951222317
linear_4,qwc,471696,qasm simulator,1.9818611987381707,-3.2248525475621794,-6.029267278498274,-8.131123540269186,-8.913804369119696,-9.437764688697847
linear_4,qwc,471696,qasm simulator,1.9298107255520505,-3.2110127602773137,-5.916099474384069,-7.776678439241007,-8.429447962925668,-8.902369688738101
linear_4,qwc,471696,qasm simulator,1.8209779179810728,-3.402416269829057,-6.348173766639581,-8.316975018399567,-9.154647793877134,-9.610778741626362
linear_4,qwc,471696,qasm simulator,2.000788643533123,-3.4394935412351186,-6.064532533998692,-7.4360944977963115,-7.740481722574109,X
linear_4,qwc,471696,qasm simulator,1.9597791798107256,-3.6862721936147462,-6.770414281311106,-8.386292484837576,-9.116206902393863,-9.614884894977376
linear_4,qwc,471696,qasm simulator,1.8580441640378547,-3.6911445441475457,-6.79208236328181,-8.658744598773062,-9.438148713729216,-9.754472363161302
linear_4,qwc,471696,qasm simulator,2.0370662460567823,-3.213411097496967,-6.433389715886716,-8.279865850740743,-8.992497936291413,-9.515503641439079
linear_4,qwc,471696,qasm simulator,1.7996845425867507,-3.780350096014813,-6.674031092460174,-8.440284178318985,-9.199763050326997,-9.653373305593512
linear_4,qwc,471696,qasm simulator,1.967665615141956,-3.192543984860915,-5.843834112208469,-7.518644216707559,-8.280265032561111,-8.682945387579352
linear_4,qwc,471696,qasm simulator,1.9794952681388014,-2.7905957488045354,-4.758105291258322,-5.454215899153864,-15.399353339061527,-10.652339678201947
linear_4,qwc,471696,qasm simulator,1.8548895899053628,-3.7219754972846033,-7.018196068032278,-8.675591010724833,-9.342216638986795,-9.73501955337829
linear_4,qwc,471696,qasm simulator,1.951104100946372,-2.9332412122369425,-4.422506850336046,-4.46698013048508,-11.911951012615656,-10.392357585766662
linear_4,qwc,471696,qasm simulator,1.9526813880126184,-3.4372330396054274,-6.149558584102797,-7.581733967601174,-7.953937465258104,-7.9926576689281195
linear_4,qwc,471696,qasm simulator,2.0252365930599368,-2.948258563281069,-5.050163210565602,-6.749278499056061,-7.427680511734133,-7.428064452319328
linear_4,qwc,471696,qasm simulator,1.897476340694006,-3.7326724904471797,-7.004743820289896,-8.869991227805007,-9.530203359315689,-9.803674258291384
linear_4,qwc,471696,qasm simulator,1.9179810725552047,-3.6325310406482862,-6.454739693418768,-8.044033312224945,-8.772470328640603,-9.35163652697511
linear_4,qwc,471696,qasm simulator,1.8154574132492116,-3.7261691080820736,-6.737914626054266,-8.47165476610233,-9.230340330908316,-9.669305972101085
linear_4,qwc,471696,qasm simulator,1.9652996845425874,-3.369312127120919,-5.855815591646616,-7.332445215450978,-7.672741729775151,X
linear_4,qwc,471696,qasm simulator,1.8864353312302842,-3.3554687375892613,-5.956179123275222,-7.8434280632650015,-8.794975229838377,-9.330260977361394
linear_4,qwc,471696,qasm simulator,1.9889589905362777,-3.103398474925364,-5.221748149620029,-6.3536925756115865,X,-11.123821963056406
linear_4,qwc,471696,qasm simulator,1.886435331230284,-3.5237212400327733,-6.50858669506003,-8.328094730030251,-9.118833986779762,-9.593281988195166
linear_4,qwc,471696,qasm simulator,1.8856466876971607,-3.6400660719589224,-6.94851396273498,-8.711961959660027,-9.403870011636673,-9.751039000604257
linear_4,qwc,471696,qasm simulator,1.8864353312302842,-3.7990903020768325,-6.887627114334194,-8.413948928303066,-9.131572968919697,-9.627293648400116
linear_4,qwc,471696,qasm simulator,1.967665615141956,-3.8038704363423905,-7.342162333606289,-9.013609629141389,-9.543519367922872,-9.825597270861927
linear_4,qwc,471696,qasm simulator,2.0875394321766563,-2.3080618383527995,-3.03037117560254,X,-10.489686904030217,-10.150947275727404
linear_4,qwc,471696,qasm simulator,1.8753943217665614,-3.6684270763413696,-6.4163049294742205,-7.841624378950053,-8.443984768869512,-8.982692038292104
linear_4,qwc,471696,qasm simulator,1.9022082018927444,-3.2795207444459673,-6.060816657477751,-8.305902853584442,-9.35544138973244,-9.694810200076779
linear_4,qwc,471696,qasm simulator,1.9787066246056784,-3.0172594305583114,-5.498602781827694,-8.191254911598614,-9.41388781236726,-9.721533020822655
linear_4,qwc,471696,qasm simulator,2.0165615141955833,-3.533516849187712,-7.247568233813949,-9.094301528773336,-9.62106479225406,-9.841516882496606
linear_4,qwc,471696,qasm simulator,1.9566246056782333,-3.0311902435286604,-5.29665254038629,-6.78824282391159,-7.1048129252701955,-15.28779143053314
linear_4,qwc,471696,qasm simulator,1.94794952681388,-3.376902428440417,-5.982173052483793,-8.05668916196911,-8.97343982737366,-9.474700510027782
linear_4,qwc,471696,qasm simulator,1.8422712933753946,-4.081285626055562,-7.2646850177615665,-8.722938825106787,-9.366103151203765,-9.760883547659175
linear_4,qwc,471696,qasm simulator,1.8990536277602525,-3.383277489304639,-6.237563854057166,-8.448875442022599,-9.372208922688877,-9.707484316090387
linear_4,qwc,471696,qasm simulator,1.778391167192429,-4.040741993071082,-7.274945291463942,-8.931859276438281,-9.552694285926716,-9.820895427246533
linear_4,qwc,471696,qasm simulator,1.8154574132492112,-3.512953655602865,-6.035644639193952,-8.07117825311845,-9.034621493678513,-9.522157313346838
linear_4,qwc,471696,qasm simulator,1.9779179810725553,-3.274817132726095,-6.412405721368936,-8.652372793323151,-9.486954135443249,-9.767500542633648
linear_4,qwc,471696,qasm simulator,1.8951104100946372,-3.5881664548377965,-7.161828648677628,-9.001375891688777,-9.57883956619029,-9.824998538520965
linear_4,qwc,471696,qasm simulator,1.9692429022082023,-2.7274480816559437,-4.566006762526299,-5.190182660122534,-15.504142496911069,-10.767972754412114
linear_4,qwc,471696,qasm simulator,1.9156151419558358,-2.9023735256174676,-5.386572908964445,-8.162494697960742,-9.572167947468369,-9.82109229716898
linear_4,qwc,471696,qasm simulator,1.9195583596214512,-3.6008371847897336,-6.307690128586791,-8.050394809878359,-8.875779533281902,-9.412251916202433
linear_4,qwc,471696,qasm simulator,1.9605678233438484,-3.410370221773386,-6.20604726217422,-7.879574666426956,-8.546440610128418,-9.099760520051785
linear_4,qwc,471696,qasm simulator,1.903785488958991,-3.2106414696854775,-5.728197952984873,-7.833429341729756,-8.872079856502712,-9.383702644991388
linear_4,qwc,471696,qasm simulator,2.0157728706624605,-3.168967406832706,-5.781696394408469,-7.607263964371244,-8.390870475569457,-8.85646116122248
linear_4,qwc,471696,qasm simulator,2.005520504731861,-3.753453528275488,-7.281680981766065,-8.982784977020426,-9.559905553060336,-9.821113988383509
linear_4,qwc,471696,qasm simulator,1.8541009463722395,-3.304607772758966,-5.392376556281164,-5.869852860215894,-13.97538616891822,-10.436244372906003
linear_4,qwc,471696,qasm simulator,1.9029968454258677,-4.002635594028979,-7.364693918997569,-8.845721268886006,-9.468097289740767,-9.795064485445055
linear_4,qwc,471696,qasm simulator,1.8406940063091484,-3.556580305606415,-6.518899287434836,-8.32680714857223,-9.094984415338832,-9.594239617300058
linear_4,qwc,471696,qasm simulator,1.9424290220820186,-3.4123784841374025,-6.92031667716984,-9.000242677349918,-9.638531387522992,-9.839543254645697
linear_4,qwc,471696,qasm simulator,1.9944794952681384,-3.5729023529227035,-6.96513976969073,-8.712653266834081,-9.39413182044822,-9.749317934048612
linear_4,qwc,471696,qasm simulator,1.8840694006309144,-3.4041186240196692,-6.495601964303597,-8.4312599471796,-9.170633813146157,-9.631531727591138
linear_4,qwc,471696,qasm simulator,1.7681388012618295,-3.622332747787771,-6.673880790151708,-8.359829630102936,-9.088635341528493,-9.600464245493853
linear_4,qwc,471696,qasm simulator,2.0559936908517353,-2.6549903197855396,-4.292466713109204,-4.407083617162734,-12.372961563923504,-10.464546370736283
linear_4,qwc,471696,qasm simulator,1.9716088328075712,-2.9763087123431795,-5.541558599285841,-8.159282379821224,-9.316107485706615,-9.662152129433968
linear_4,qwc,471696,qasm simulator,1.9692429022082019,-3.7325655340785278,-6.695317906488588,-8.551328977071728,-9.317407623823584,-9.703237597107487
linear_4,qwc,471696,qasm simulator,1.896687697160883,-3.350437614220677,-6.006009339198348,-7.702906039971754,-8.478158575510456,-8.998111276711924
linear_4,qwc,471696,qasm simulator,1.9242902208201893,-3.60135448636479,-6.77913202030582,-8.575528878992555,-9.309503042377251,-9.706570190358738
