system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21501,qasm simulator,1.7501769285208777,-3.4783593021965906,-5.8244255262692395,-6.355874361295059,-6.459778429306644
linear_4,mix,21501,qasm simulator,1.8096249115357397,-3.403732747054155,-5.409458154091361,-6.345345308420093,-6.462035252463305
linear_4,mix,21501,qasm simulator,1.8931351733899506,-2.851323537132405,-5.2032731002091035,-6.239535247247693,-6.457764726715469
linear_4,mix,21501,qasm simulator,1.8676574663835805,-3.4100511141439553,-5.687634503723745,-6.3491692120768395,-6.46147831999629
linear_4,mix,21501,qasm simulator,1.9115357395612176,-2.76488241763991,-5.11315966315474,-6.219710006086359,-6.462787006281205
linear_4,mix,21501,qasm simulator,1.8903043170559095,-3.2892789246774683,-5.544824080666023,-6.328989339659442,-6.461104267116402
linear_4,mix,21501,qasm simulator,1.7261146496815287,-3.6906281905025753,-5.735300480448052,-6.368244584810861,-6.461763870476057
linear_4,mix,21501,qasm simulator,1.7813163481953291,-3.6358949165495176,-5.629807493426893,-6.374735188049043,-6.464825188426463
linear_4,mix,21501,qasm simulator,1.8775654635527246,-2.9429863946330115,-5.1915065262764335,-6.23149291334621,-6.455575323552454
linear_4,mix,21501,qasm simulator,1.7572540693559802,-3.2937056843013677,-5.35777950946224,-6.309213821238272,-6.460857258679221
linear_4,mix,21501,qasm simulator,1.8464260438782734,-3.3510801260881364,-5.621563303996478,-6.348083076414804,-6.462641760684769
linear_4,mix,21501,qasm simulator,1.8322717622080678,-3.416115618632136,-5.327467300761548,-6.369296436045214,-6.468795099439609
linear_4,mix,21501,qasm simulator,1.8336871903750884,-3.3671628526846207,-5.598419324132901,-6.344488342577657,-6.461069525515044
linear_4,mix,21501,qasm simulator,1.7699929228591649,-3.285887406060255,-5.506129036960683,-6.3217570305883815,-6.459244607942989
linear_4,mix,21501,qasm simulator,1.835102618542109,-3.7753293307599414,-5.90609564775195,-6.385750485047604,-6.462412011000202
linear_4,mix,21501,qasm simulator,1.8067940552016983,-3.200139218310288,-5.701426377923259,-6.323742828772724,-6.457950339084274
linear_4,mix,21501,qasm simulator,1.890304317055909,-3.0396575078740624,-5.542715031192256,-6.304131839136214,-6.457857365291845
linear_4,mix,21501,qasm simulator,1.921443736730361,-3.1112502409648286,-5.601335710326703,-6.3130322980579905,-6.4592466118142
linear_4,mix,21501,qasm simulator,1.7615003538570417,-3.62286083349251,-5.86752604472704,-6.364203905446422,-6.459829333537827
linear_4,mix,21501,qasm simulator,1.992215145081387,-2.8449495601235553,-5.45286512989019,-6.287207243907666,-6.4600499746330655
linear_4,mix,21501,qasm simulator,1.8761500353857046,-2.8710102982457837,-5.345758096124754,-6.25867469962405,-6.458739345198867
linear_4,mix,21501,qasm simulator,1.8931351733899504,-3.0982906958859378,-5.704044036763733,-6.328729297686495,-6.458629077152807
linear_4,mix,21501,qasm simulator,1.9256900212314227,-2.843276091223819,-5.4318918585036435,-6.275816879289666,-6.460965468441357
linear_4,mix,21501,qasm simulator,1.8067940552016986,-3.521756429520409,-5.885859729249098,-6.36154196908811,-6.459418804300759
linear_4,mix,21501,qasm simulator,1.83793347487615,-3.2570442707458285,-5.375736319306222,-6.311066487052907,-6.46060241128819
linear_4,mix,21501,qasm simulator,1.8803963198867657,-3.2353263045112794,-5.93372417752467,-6.363389611158051,-6.458912779722635
linear_4,mix,21501,qasm simulator,1.719037508846426,-3.238188241151276,-5.674659029002979,-6.317777757502396,-6.457199871055551
linear_4,mix,21501,qasm simulator,1.8577494692144374,-3.515393671488509,-5.9298251008530745,-6.381199617767047,-6.463217698087735
linear_4,mix,21501,qasm simulator,1.9143665958952583,-2.4506452188742887,-4.683828108407148,-6.004342921460154,-6.444921957916284
linear_4,mix,21501,qasm simulator,1.7714083510261855,-3.3252117719659036,-5.559198115424436,-6.328553771592299,-6.460829149642143
linear_4,mix,21501,qasm simulator,1.8634111818825194,-3.022437576336402,-5.391825854262116,-6.280824170206199,-6.459923511145508
linear_4,mix,21501,qasm simulator,1.9171974522292992,-2.08136956952415,-3.9634399434815757,-4.713305072844328,-6.385330867490104
linear_4,mix,21501,qasm simulator,1.7883934890304314,-3.5918407470591163,-5.803752132559078,-6.35908595554751,-6.460302120148143
linear_4,mix,21501,qasm simulator,1.7983014861995754,-3.401970575864756,-5.87014121486108,-6.356221764464618,-6.459871294258745
linear_4,mix,21501,qasm simulator,1.9511677282377917,-2.3833366972131875,-5.304962357175365,-6.201367081174596,-6.456882832325793
linear_4,mix,21501,qasm simulator,1.8506723283793347,-3.644447157831733,-5.757643353553985,-6.3713321006299655,-6.463386871687436
linear_4,mix,21501,qasm simulator,1.8336871903750884,-3.116180244929593,-5.593096054009498,-6.309749818720785,-6.459308805900019
linear_4,mix,21501,qasm simulator,1.8351026185421093,-3.160917649832734,-5.7004114182769445,-6.320599408793166,-6.457113241876733
linear_4,mix,21501,qasm simulator,1.840764331210191,-3.3874545286474325,-5.671797034034361,-6.3451117293593615,-6.462575412413663
linear_4,mix,21501,qasm simulator,1.6878980891719746,-3.3403021147132033,-5.58505217108283,-6.3118826199044324,-6.457644247719939
linear_4,mix,21501,qasm simulator,1.8987968860580327,-3.0895139202923363,-5.747237146128643,-6.320240338784703,-6.456899734050035
linear_4,mix,21501,qasm simulator,1.802547770700637,-3.7808480858345836,-5.802784583888686,-6.381113820241217,-6.463034912416759
linear_4,mix,21501,qasm simulator,1.8662420382165603,-3.7066117505391083,-5.829612756378755,-6.382252769309897,-6.463096013941573
linear_4,mix,21501,qasm simulator,1.894550601556971,-3.4424914700214417,-6.087699523939309,-6.387702445274419,-6.4614448106764435
linear_4,mix,21501,qasm simulator,1.8322717622080678,-3.0474293850125336,-5.725572045583965,-6.318386520750538,-6.457453480849612
linear_4,mix,21501,qasm simulator,1.805378627034678,-3.21593432407789,-5.327642353380865,-6.303449667641054,-6.460607202859011
linear_4,mix,21501,qasm simulator,1.8690728945506017,-2.7532619727481262,-5.4845907429328165,-6.267248509963649,-6.455704981016617
linear_4,mix,21501,qasm simulator,1.8619957537154992,-3.0835801480389904,-5.75521593041532,-6.324801369815885,-6.45782250626588
linear_4,mix,21501,qasm simulator,1.635527246992215,-3.003444657593082,-5.188394943445828,-6.22269991735021,-6.453740008343535
linear_4,mix,21501,qasm simulator,1.748761500353857,-3.4706809453981053,-5.560306115805314,-6.344874613444518,-6.46107919910444
linear_4,mix,21501,qasm simulator,1.7501769285208777,-3.5292429417286173,-5.587707279798659,-6.337043363482362,-6.460009690932122
linear_4,mix,21501,qasm simulator,1.751592356687898,-3.7424712087942265,-6.060186954655329,-6.389042678814482,-6.460307003732885
linear_4,mix,21501,qasm simulator,1.7232837933474876,-3.38319934872678,-5.485521278474721,-6.306505925589908,-6.458491607732178
linear_4,mix,21501,qasm simulator,1.765746638358103,-3.3624864758782853,-5.551680626035004,-6.331486463704804,-6.460236389115806
