system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.0,1.509765625,7.34765625,4.705078125,102.2578125,-208.646484375,2441.26171875,-11599.576171875,83874.140625,-501875.865234375,1.509765625,-3.7362975306979935,-5.584276715556578,-6.321932975280621,-6.458710518279091
linear_4,mix,21504,qasm simulator,1.0,1.546875,7.1796875,7.6328125,82.84375,-59.828125,1455.6796875,-4937.1484375,40300.625,-216431.890625,1.546875,-3.26687309867158,-4.818190401644401,-6.142855332988741,-6.453063505148798
linear_4,mix,21504,qasm simulator,1.0,1.40234375,7.296875,6.57421875,83.640625,-60.55078125,1394.84375,-4427.41015625,36179.96875,-187733.69140625,1.40234375,-3.237512239012538,-4.598901861988129,-6.040018777016421,-6.448887592690419
linear_4,mix,21504,qasm simulator,1.0,1.64453125,6.8984375,9.08984375,77.734375,-36.65234375,1361.7578125,-4494.83203125,38212.21875,-205479.69921875,1.64453125,-3.071476580414696,-4.95593249169147,-6.122854140377584,-6.4507180720574855
linear_4,mix,21504,qasm simulator,1.0,1.494140625,7.015625,7.228515625,80.25,-57.224609375,1388.828125,-4630.615234375,37841.625,-201597.443359375,1.494140625,-3.194553495375586,-4.751714798350285,-6.097050642147321,-6.450994999567682
linear_4,mix,21504,qasm simulator,1.0,1.56640625,7.17578125,7.578125,84.6171875,-72.51953125,1556.26171875,-5613.9140625,44915.046875,-246754.79296875,1.56640625,-3.3102343283396936,-4.952324873651227,-6.195640889666124,-6.4549273658326065
linear_4,mix,21504,qasm simulator,1.0,1.4609375,6.91796875,6.046875,85.9453125,-114.9609375,1756.48828125,-7246.21875,54879.703125,-314595.6328125,1.4609375,-3.3118951950484274,-5.171416317327669,-6.2125831854715905,-6.454368875895554
linear_4,mix,21504,qasm simulator,1.0,1.54296875,6.88671875,7.859375,78.9609375,-53.41796875,1401.34765625,-4792.7890625,39387.421875,-212929.00390625,1.54296875,-3.122724151949805,-4.883797007405275,-6.119113693707579,-6.45087877450022
linear_4,mix,21504,qasm simulator,1.0,1.5625,7.078125,7.85546875,85.140625,-82.6328125,1658.15625,-6378.49609375,50373.59375,-283673.328125,1.5625,-3.2225324606347576,-5.167697560290386,-6.187517332000101,-6.453197376448176
linear_4,mix,21504,qasm simulator,1.0,1.62109375,7.375,7.1640625,90.484375,-106.07421875,1798.171875,-7160.8125,55162.28125,-313050.26953125,1.62109375,-3.548688372047868,-5.149558872664221,-6.275102406103111,-6.45893492365356
linear_4,mix,21504,qasm simulator,1.0,1.576171875,6.8828125,7.048828125,86.03125,-114.197265625,1821.6640625,-7718.130859375,58763.25,-340996.470703125,1.576171875,-3.3355397653103505,-5.384310896963115,-6.249702332371849,-6.4553974749533936
linear_4,mix,21504,qasm simulator,1.0,1.62109375,6.36328125,10.46875,62.3359375,41.14453125,799.79296875,-1070.7265625,15561.609375,-61053.51953125,1.62109375,-2.488901979735826,-4.2181592934241845,-5.425409850194063,-6.410068589774008
linear_4,mix,21504,qasm simulator,1.0,1.498046875,7.11328125,6.033203125,91.1796875,-136.416015625,1947.69921875,-8376.474609375,62713.921875,-364436.517578125,1.498046875,-3.4345876758212595,-5.3108171787985,-6.256335744806568,-6.456085154443168
linear_4,mix,21504,qasm simulator,1.0,1.623046875,7.3828125,6.509765625,97.265625,-156.275390625,2163.8671875,-9621.076171875,71639.90625,-421108.236328125,1.623046875,-3.67232238229819,-5.480779105902528,-6.320596157000988,-6.459299259082396
linear_4,mix,21504,qasm simulator,1.0,1.716796875,7.22265625,8.525390625,89.4609375,-98.494140625,1845.90234375,-7525.654296875,58703.984375,-337526.517578125,1.716796875,-3.4504249197765384,-5.41998073123135,-6.286385785543852,-6.457506183283966
linear_4,mix,21504,qasm simulator,1.0,1.63671875,7.0234375,9.50390625,77.015625,-16.28515625,1245.7265625,-3566.23046875,32261.40625,-164968.33203125,1.63671875,-3.02672792070518,-4.736101309394449,-6.037039426753113,-6.447452226013713
linear_4,mix,21504,qasm simulator,1.0,1.55078125,6.93359375,8.8203125,73.4921875,-4.56640625,1082.30078125,-2574.609375,24879.234375,-117222.55859375,1.55078125,-2.977517325451722,-4.424022989874857,-5.825651009447599,-6.439448699763345
linear_4,mix,21504,qasm simulator,1.0,1.68359375,7.15625,8.17578125,88.796875,-101.16015625,1834.796875,-7511.32421875,58331.78125,-335552.06640625,1.68359375,-3.4255185609857115,-5.394547079781157,-6.281257548950915,-6.457287653294578
linear_4,mix,21504,qasm simulator,1.0,1.80078125,7.18359375,10.484375,81.2109375,-29.98828125,1439.26953125,-4756.4296875,41095.796875,-222343.90234375,1.80078125,-3.2094629911648793,-5.111157876565921,-6.197640621797307,-6.454481627655174
linear_4,mix,21504,qasm simulator,1.0,1.517578125,7.27734375,5.587890625,97.9296875,-175.357421875,2242.05078125,-10257.662109375,75351.984375,-446268.419921875,1.517578125,-3.5885984487961675,-5.510001121399483,-6.296981441737183,-6.4575056807309
linear_4,mix,21504,qasm simulator,1.0,1.650390625,6.84375,8.677734375,79.9375,-58.498046875,1504.4375,-5503.158203125,44821.5,-249259.083984375,1.650390625,-3.14480641891027,-5.156606891937901,-6.20383368319389,-6.45391213212965
linear_4,mix,21504,qasm simulator,1.0,1.595703125,7.48046875,7.576171875,90.7890625,-91.552734375,1738.42578125,-6590.416015625,51758.640625,-289089.388671875,1.595703125,-3.4561339428089917,-5.063135028892293,-6.2445263784265,-6.456698173485647
linear_4,mix,21504,qasm simulator,1.0,1.623046875,7.0859375,7.970703125,87.609375,-99.947265625,1805.7265625,-7380.412109375,57292.59375,-329327.205078125,1.623046875,-3.3171440524452454,-5.370223015990756,-6.245643709996697,-6.455147094177647
linear_4,mix,21504,qasm simulator,1.0,1.55078125,6.7890625,8.640625,72.4375,-10.95703125,1105.1015625,-2865.5234375,26652.9375,-130271.83984375,1.55078125,-2.9544779408456123,-4.515523164991586,-5.887610477146085,-6.441681151162991
linear_4,mix,21504,qasm simulator,1.0,1.599609375,6.93359375,7.740234375,85.1796875,-96.916015625,1748.01953125,-7127.650390625,55308.984375,-317617.494140625,1.599609375,-3.2648786188699486,-5.342960252556838,-6.2359805667399595,-6.4546191781418205
linear_4,mix,21504,qasm simulator,1.0,1.607421875,7.12890625,8.458984375,81.7890625,-50.142578125,1441.88671875,-4852.603515625,40324.578125,-217102.080078125,1.607421875,-3.2108224443496303,-4.898208275947688,-6.147638053762604,-6.452608504584344
linear_4,mix,21504,qasm simulator,1.0,1.689453125,6.7734375,10.513671875,69.140625,25.947265625,957.5703125,-1801.103515625,20737.03125,-91535.732421875,1.689453125,-2.7997115386659495,-4.403896395395067,-5.78372763417876,-6.436865160739721
linear_4,mix,21504,qasm simulator,1.0,1.59765625,7.23828125,7.56640625,87.6015625,-90.57421875,1704.30859375,-6585.41796875,51562.578125,-290205.05859375,1.59765625,-3.3902738472450817,-5.124561060946116,-6.230326588056898,-6.455889956200624
linear_4,mix,21504,qasm simulator,1.0,1.578125,7.11328125,7.19921875,88.0703125,-106.5546875,1796.12109375,-7320.05859375,56294.265625,-322403.4375,1.578125,-3.3812516895284555,-5.255818543846784,-6.24439886148461,-6.455802950417004
linear_4,mix,21504,qasm simulator,1.0,1.66015625,6.5390625,10.5078125,64.671875,37.58984375,840.3046875,-1216.5,16602.59375,-66539.91796875,1.66015625,-2.6332645826237657,-4.248306848940433,-5.519301871042822,-6.420689723889579
linear_4,mix,21504,qasm simulator,1.0,1.53515625,7.140625,6.44140625,90.046875,-124.98046875,1884.03125,-7931.91796875,59919.15625,-346077.30859375,1.53515625,-3.4413985475588724,-5.272459972178636,-6.25049279047477,-6.456185886496151
linear_4,mix,21504,qasm simulator,1.0,1.640625,7.05078125,8.7109375,79.5078125,-39.453125,1363.40234375,-4391.2578125,37257.265625,-197758.109375,1.640625,-3.197052838316184,-4.843128704557397,-6.152023457910481,-6.454087281062321
linear_4,mix,21504,qasm simulator,1.0,1.654296875,6.77734375,10.560546875,65.8828125,49.154296875,769.66015625,-534.533203125,12063.953125,-34487.470703125,1.654296875,-2.7358473588483254,-3.976889806376476,-4.905824547986413,-6.385017160028812
linear_4,mix,21504,qasm simulator,1.0,1.466796875,6.828125,6.380859375,81.359375,-87.845703125,1550.59375,-5925.962890625,45988.03125,-256970.220703125,1.466796875,-3.237997094317443,-4.980423854215645,-6.166313521518806,-6.4531747925930105
linear_4,mix,21504,qasm simulator,1.0,1.689453125,6.96875,8.509765625,84.546875,-86.341796875,1719.234375,-6906.615234375,54291.03125,-311000.560546875,1.689453125,-3.306257153299199,-5.390216655862336,-6.253119416769009,-6.455638941649941
linear_4,mix,21504,qasm simulator,1.0,1.625,6.84765625,8.28515625,79.3203125,-57.9296875,1462.85546875,-5249.33203125,42743.640625,-235661.984375,1.625,-3.1767491069944445,-5.048745620108122,-6.188696053139158,-6.454311626212613
linear_4,mix,21504,qasm simulator,1.0,1.638671875,7.1796875,7.611328125,88.3125,-102.134765625,1791.4921875,-7247.443359375,56051.0625,-320550.908203125,1.638671875,-3.4466858991334486,-5.270293706698292,-6.26121051395446,-6.457096170448127
linear_4,mix,21504,qasm simulator,1.0,1.4921875,7.4609375,5.27734375,99.5,-172.625,2210.9609375,-9891.18359375,72701.1875,-426979.3671875,1.4921875,-3.6323394062701357,-5.3754147333904925,-6.29692452134267,-6.458016935801915
linear_4,mix,21504,qasm simulator,1.0,1.599609375,7.05078125,8.087890625,82.9453125,-68.173828125,1550.99609375,-5677.248046875,45661.515625,-252990.197265625,1.599609375,-3.2383815683697925,-5.055764860176752,-6.184689505065764,-6.45360849314355
